Avg_dep_rejected,Total_pending_deposit,Amt_approved_deposit,Avg_dep_per_day,Total_rejected_WD,Nr_days_without_activity,Fraud
209.0,725.0,30053.0,0.0,6561.0,3328.0,0
113.0,1776.0,17586.0,1.0,2278.0,1861.0,0
44.0,3148.0,7065.0,0.0,4592.0,975.0,0
96.0,269.0,7939.0,1.0,5857.0,1345.0,0
234.0,414.0,38165.0,1.0,1336.0,1223.0,0
160.0,2761.0,5507.0,1.0,1297.0,80.0,0
233.0,1072.0,4052.0,0.0,1726.0,184.0,0
270.0,1858.0,25792.0,1.0,3681.0,1945.0,0
412.0,675.0,3083.0,0.0,381.0,182.0,0
197.0,288.0,13407.0,0.0,504.0,1696.0,0
48.0,1149.0,21980.0,1.0,2223.0,1847.0,0
263.0,267.0,9796.0,0.0,602.0,3665.0,0
487.0,2978.0,39379.0,0.0,5053.0,2314.0,0
166.0,1459.0,9326.0,1.0,7192.0,886.0,0
487.0,853.0,9035.0,0.0,5409.0,2473.0,0
355.0,1512.0,27886.0,1.0,3426.0,3665.0,0
193.0,1363.0,2764.0,1.0,1546.0,2730.0,0
78.0,2214.0,15011.0,2.0,2882.0,80.0,0
14.0,3196.0,13378.0,1.0,1656.0,1168.0,0
18.0,1397.0,16227.0,0.0,2961.0,1690.0,0
342.0,1433.0,13421.0,2.0,5408.0,1940.0,0
71.0,522.0,11137.0,2.0,2418.0,121.0,0
76.0,348.0,19374.0,0.0,7192.0,126.0,0
57.0,974.0,3009.0,1.0,282.0,1514.0,0
283.0,3765.0,12721.0,0.0,6498.0,743.0,0
139.0,852.0,15839.0,0.0,2423.0,1409.0,0
245.0,1983.0,16420.0,1.0,848.0,2832.0,0
212.0,1597.0,22565.0,1.0,3321.0,2243.0,0
155.0,2372.0,21687.0,0.0,1130.0,794.0,0
179.0,3582.0,5066.0,0.0,2020.0,543.0,0
348.0,1582.0,30167.0,1.0,5208.0,2525.0,0
243.0,1909.0,33230.0,0.0,1445.0,1132.0,0
219.0,891.0,3318.0,2.0,1879.0,742.0,0
235.0,2112.0,1457.0,1.0,3022.0,1136.0,0
17.0,2076.0,14674.0,1.0,2845.0,3665.0,0
33.0,1184.0,39379.0,0.0,1792.0,145.0,0
344.0,1563.0,13205.0,2.0,1118.0,334.0,0
23.0,1382.0,26357.0,0.0,2061.0,80.0,0
33.0,1629.0,2447.0,0.0,2812.0,859.0,0
10.0,131.0,1457.0,1.0,3689.0,792.0,0
478.0,761.0,26355.0,0.0,4304.0,1638.0,0
73.0,2484.0,11352.0,1.0,2502.0,1615.0,0
306.0,986.0,12953.0,1.0,3987.0,1267.0,0
144.0,388.0,2436.0,1.0,5096.0,2098.0,0
220.0,2617.0,5321.0,1.0,594.0,1311.0,0
308.0,3058.0,6028.0,1.0,3364.0,2218.0,0
197.0,1960.0,19315.0,1.0,1676.0,2147.0,0
487.0,271.0,16688.0,1.0,3015.0,147.0,0
19.0,2776.0,21449.0,0.0,649.0,1432.0,0
369.0,800.0,7261.0,0.0,1439.0,527.0,0
400.0,1273.0,34604.0,1.0,2090.0,2416.0,0
243.0,1513.0,8772.0,0.0,5890.0,3665.0,0
293.0,460.0,5158.0,0.0,2995.0,2481.0,0
158.0,1428.0,6836.0,0.0,1146.0,2699.0,0
136.0,1169.0,24631.0,1.0,599.0,3115.0,0
133.0,1593.0,33836.0,0.0,3646.0,1039.0,0
188.0,514.0,24309.0,2.0,1595.0,589.0,0
55.0,3150.0,18972.0,0.0,4868.0,3109.0,0
58.0,2072.0,18099.0,0.0,258.0,1810.0,0
35.0,259.0,12821.0,0.0,7192.0,892.0,0
169.0,1571.0,6200.0,1.0,5123.0,3665.0,0
319.0,2690.0,31335.0,1.0,6206.0,2578.0,0
306.0,1101.0,11916.0,1.0,1390.0,1300.0,0
487.0,924.0,23012.0,1.0,1289.0,1836.0,0
271.0,3765.0,14996.0,1.0,2085.0,1062.0,0
279.0,131.0,17469.0,1.0,1648.0,339.0,0
222.0,3765.0,37958.0,0.0,461.0,274.0,0
144.0,722.0,21600.0,0.0,4656.0,468.0,0
140.0,2334.0,4005.0,2.0,2082.0,361.0,0
171.0,3708.0,2949.0,2.0,3657.0,2026.0,0
385.0,530.0,18171.0,1.0,675.0,161.0,0
119.0,1244.0,1577.0,1.0,2238.0,92.0,0
155.0,194.0,1457.0,0.0,2262.0,139.0,0
128.0,1333.0,14119.0,1.0,2119.0,2145.0,0
390.0,2673.0,24662.0,1.0,675.0,372.0,0
165.0,870.0,11407.0,1.0,855.0,2817.0,0
175.0,305.0,22796.0,2.0,7192.0,423.0,0
226.0,1497.0,32803.0,0.0,210.0,857.0,0
161.0,3342.0,36271.0,1.0,1286.0,2279.0,0
133.0,3765.0,3587.0,0.0,726.0,97.0,0
400.0,167.0,8119.0,0.0,1547.0,493.0,0
301.0,2699.0,3261.0,1.0,1125.0,1715.0,0
408.0,1086.0,25890.0,1.0,1556.0,604.0,0
487.0,798.0,10269.0,1.0,2643.0,1502.0,0
468.0,131.0,8751.0,0.0,947.0,122.0,0
26.0,2330.0,14541.0,1.0,2271.0,592.0,0
148.0,964.0,1457.0,0.0,7192.0,3665.0,0
74.0,514.0,18708.0,1.0,5899.0,2076.0,0
423.0,1041.0,6860.0,1.0,2127.0,430.0,0
17.0,1289.0,4840.0,1.0,5776.0,1019.0,0
150.0,1344.0,1457.0,1.0,381.0,411.0,0
174.0,319.0,8224.0,2.0,2769.0,628.0,0
142.0,174.0,18174.0,0.0,6056.0,368.0,0
487.0,3765.0,6457.0,2.0,965.0,3457.0,0
172.0,864.0,4020.0,1.0,2083.0,1438.0,0
228.0,3765.0,24150.0,0.0,7192.0,3528.0,0
10.0,528.0,7155.0,2.0,2240.0,3665.0,0
43.0,141.0,19785.0,0.0,4416.0,297.0,0
385.0,2344.0,8514.0,2.0,1064.0,3030.0,0
165.0,202.0,38603.0,0.0,3347.0,1393.0,0
280.0,939.0,8338.0,1.0,6360.0,3665.0,0
155.0,264.0,29900.0,1.0,1108.0,1889.0,0
10.0,131.0,1457.0,0.0,210.0,80.0,0
193.0,1632.0,8041.0,0.0,1348.0,3141.0,0
113.0,598.0,2599.0,0.0,257.0,1430.0,0
229.0,474.0,13007.0,0.0,210.0,2029.0,0
225.0,3765.0,1457.0,1.0,5524.0,683.0,0
241.0,1974.0,26935.0,1.0,2630.0,1433.0,0
119.0,440.0,25884.0,0.0,1157.0,385.0,0
10.0,1221.0,36824.0,0.0,345.0,1195.0,0
147.0,136.0,13688.0,0.0,2597.0,870.0,0
219.0,3765.0,3914.0,0.0,3837.0,1739.0,0
223.0,306.0,1457.0,1.0,7192.0,2732.0,0
109.0,1166.0,3225.0,1.0,1817.0,3665.0,0
282.0,131.0,21545.0,1.0,1880.0,80.0,0
95.0,3412.0,15518.0,0.0,2952.0,288.0,0
229.0,396.0,39379.0,1.0,1513.0,753.0,0
283.0,998.0,21614.0,1.0,2056.0,1626.0,0
252.0,172.0,30099.0,0.0,6277.0,551.0,0
184.0,3765.0,22415.0,1.0,3695.0,1167.0,0
39.0,777.0,11097.0,1.0,210.0,1041.0,0
10.0,1539.0,11033.0,1.0,336.0,625.0,0
199.0,1487.0,1457.0,0.0,1064.0,514.0,0
109.0,131.0,33129.0,1.0,7192.0,1456.0,0
166.0,257.0,1457.0,0.0,2521.0,725.0,0
181.0,2870.0,38104.0,1.0,5576.0,1973.0,0
100.0,131.0,6291.0,1.0,1363.0,301.0,0
386.0,131.0,5115.0,2.0,2018.0,322.0,0
194.0,1306.0,1457.0,0.0,1753.0,2672.0,0
230.0,3765.0,11385.0,0.0,227.0,1126.0,0
154.0,2807.0,17214.0,1.0,3597.0,197.0,0
132.0,3426.0,27351.0,0.0,5137.0,356.0,0
55.0,795.0,8165.0,0.0,5350.0,2805.0,0
393.0,1177.0,16324.0,0.0,416.0,3539.0,0
94.0,316.0,18784.0,0.0,1234.0,1363.0,0
62.0,2636.0,4521.0,2.0,649.0,86.0,0
132.0,1094.0,13846.0,1.0,7192.0,432.0,0
108.0,259.0,9040.0,1.0,2062.0,3058.0,0
64.0,739.0,11552.0,0.0,1319.0,1059.0,0
137.0,271.0,8703.0,0.0,558.0,2834.0,0
204.0,1172.0,2347.0,0.0,1427.0,1513.0,0
263.0,1037.0,4956.0,0.0,1113.0,3665.0,0
487.0,1115.0,31915.0,1.0,2511.0,558.0,0
368.0,592.0,39379.0,2.0,2589.0,1495.0,0
345.0,1224.0,8431.0,0.0,1489.0,2129.0,0
67.0,210.0,15300.0,2.0,7192.0,2702.0,0
73.0,3047.0,10842.0,0.0,3272.0,1502.0,0
50.0,2310.0,2308.0,0.0,4510.0,135.0,0
292.0,1573.0,24493.0,0.0,660.0,3428.0,0
449.0,520.0,22314.0,0.0,4594.0,1023.0,0
11.0,131.0,12112.0,2.0,3888.0,939.0,0
10.0,267.0,6519.0,0.0,627.0,2819.0,0
339.0,1575.0,39379.0,1.0,210.0,578.0,0
261.0,1772.0,11352.0,1.0,5271.0,331.0,0
87.0,1907.0,15879.0,1.0,253.0,1521.0,0
25.0,765.0,28024.0,1.0,2309.0,158.0,0
202.0,2367.0,9286.0,1.0,1080.0,1334.0,0
487.0,134.0,30158.0,1.0,2928.0,336.0,0
213.0,1979.0,30782.0,0.0,5275.0,269.0,0
285.0,1560.0,21873.0,0.0,210.0,976.0,0
10.0,1046.0,35169.0,0.0,7192.0,1018.0,0
189.0,1009.0,1477.0,1.0,2652.0,1710.0,0
201.0,258.0,9561.0,0.0,2261.0,2929.0,0
10.0,995.0,35751.0,0.0,2367.0,3221.0,0
42.0,476.0,29490.0,0.0,2288.0,1519.0,0
487.0,3765.0,1457.0,0.0,1862.0,343.0,0
52.0,780.0,9936.0,0.0,2467.0,1158.0,0
487.0,1267.0,38288.0,0.0,429.0,605.0,0
108.0,3682.0,6726.0,1.0,210.0,80.0,0
288.0,276.0,2868.0,0.0,779.0,562.0,0
248.0,2053.0,39379.0,1.0,2825.0,1268.0,0
212.0,423.0,16384.0,0.0,3311.0,3665.0,0
10.0,380.0,26390.0,0.0,2068.0,2158.0,0
406.0,3474.0,23144.0,0.0,6967.0,2208.0,0
101.0,2668.0,10509.0,2.0,3883.0,946.0,0
178.0,702.0,2182.0,1.0,7192.0,237.0,0
173.0,3668.0,10055.0,0.0,1221.0,1933.0,0
413.0,1858.0,12973.0,1.0,5055.0,306.0,0
113.0,1477.0,6487.0,1.0,210.0,731.0,0
53.0,179.0,18014.0,0.0,4960.0,1866.0,0
373.0,2198.0,13024.0,1.0,235.0,3665.0,0
370.0,175.0,27969.0,0.0,5306.0,3665.0,0
225.0,1041.0,2218.0,2.0,1858.0,361.0,0
267.0,3765.0,2440.0,1.0,383.0,1555.0,0
250.0,1444.0,22356.0,0.0,3189.0,80.0,0
475.0,556.0,32459.0,0.0,3129.0,1227.0,0
367.0,2384.0,3426.0,1.0,1050.0,230.0,0
16.0,441.0,1457.0,1.0,4301.0,1626.0,0
337.0,618.0,18375.0,2.0,1218.0,1245.0,0
64.0,2246.0,10555.0,0.0,304.0,2077.0,0
42.0,773.0,24809.0,1.0,1981.0,3665.0,0
129.0,3765.0,22399.0,1.0,1363.0,926.0,0
272.0,2498.0,9739.0,1.0,7192.0,892.0,0
130.0,131.0,16857.0,1.0,2170.0,2223.0,0
313.0,1411.0,13967.0,0.0,342.0,99.0,0
10.0,2106.0,8516.0,1.0,684.0,3320.0,0
128.0,2700.0,14862.0,1.0,4765.0,1393.0,0
125.0,3702.0,11152.0,2.0,7192.0,1203.0,0
10.0,1069.0,4363.0,1.0,4150.0,80.0,0
57.0,1518.0,9644.0,1.0,1176.0,303.0,0
60.0,2102.0,1631.0,0.0,2319.0,221.0,0
487.0,1419.0,29414.0,1.0,476.0,331.0,0
375.0,2630.0,19129.0,1.0,6179.0,1984.0,0
320.0,1500.0,11250.0,0.0,6670.0,1502.0,0
71.0,2253.0,22307.0,0.0,2512.0,1542.0,0
376.0,643.0,3497.0,1.0,5053.0,1554.0,0
186.0,1641.0,4069.0,0.0,2081.0,2546.0,0
65.0,664.0,3236.0,0.0,3619.0,830.0,0
248.0,2676.0,9160.0,1.0,1626.0,3621.0,0
62.0,3765.0,22573.0,1.0,4733.0,2769.0,0
84.0,1395.0,2568.0,1.0,2897.0,839.0,0
119.0,1880.0,30391.0,0.0,1324.0,2674.0,0
84.0,1305.0,17714.0,0.0,1446.0,2544.0,0
324.0,764.0,17199.0,0.0,3640.0,519.0,0
161.0,1699.0,16545.0,1.0,249.0,930.0,0
153.0,2581.0,29194.0,1.0,2716.0,1522.0,0
487.0,3482.0,20136.0,0.0,2737.0,1532.0,0
172.0,348.0,29178.0,1.0,4584.0,2557.0,0
92.0,1098.0,3277.0,2.0,4649.0,397.0,0
275.0,552.0,5029.0,1.0,441.0,2434.0,0
218.0,1532.0,2312.0,2.0,7147.0,558.0,0
160.0,1045.0,15031.0,1.0,7192.0,3665.0,0
74.0,1923.0,39379.0,0.0,1408.0,1284.0,0
201.0,2229.0,11012.0,1.0,1917.0,2723.0,0
487.0,131.0,19093.0,1.0,4872.0,3143.0,0
20.0,2875.0,5169.0,0.0,4147.0,540.0,0
226.0,279.0,12872.0,2.0,4448.0,2788.0,0
267.0,3765.0,11062.0,0.0,616.0,501.0,0
200.0,3539.0,19734.0,0.0,2383.0,224.0,0
231.0,131.0,17437.0,0.0,7192.0,594.0,0
129.0,699.0,6682.0,1.0,4011.0,1101.0,0
98.0,1280.0,6762.0,0.0,7094.0,2593.0,0
202.0,1832.0,11847.0,0.0,1152.0,563.0,0
225.0,817.0,18775.0,2.0,1910.0,2170.0,0
453.0,3550.0,9532.0,2.0,4703.0,1308.0,0
373.0,443.0,9699.0,0.0,1670.0,937.0,0
81.0,717.0,5779.0,0.0,3946.0,3551.0,0
105.0,484.0,32691.0,2.0,210.0,2851.0,0
275.0,3218.0,9145.0,1.0,5407.0,3413.0,0
109.0,1745.0,3072.0,0.0,2690.0,3420.0,0
347.0,3124.0,3034.0,1.0,1392.0,2783.0,0
77.0,1590.0,16744.0,1.0,3020.0,3665.0,0
285.0,1256.0,20482.0,1.0,3628.0,957.0,0
244.0,690.0,26071.0,0.0,2996.0,1368.0,0
63.0,1503.0,34605.0,2.0,2935.0,1634.0,0
257.0,490.0,3104.0,1.0,210.0,80.0,0
97.0,301.0,5113.0,1.0,5174.0,3665.0,0
235.0,1781.0,12124.0,1.0,4335.0,1765.0,0
487.0,768.0,7372.0,0.0,965.0,1774.0,0
366.0,2301.0,9180.0,0.0,4925.0,295.0,0
135.0,1154.0,2155.0,0.0,5904.0,1215.0,0
82.0,1556.0,9626.0,0.0,2985.0,1360.0,0
183.0,3528.0,39379.0,0.0,4442.0,1484.0,0
59.0,585.0,1457.0,2.0,2027.0,80.0,0
10.0,855.0,1668.0,0.0,777.0,3180.0,0
318.0,1548.0,6226.0,1.0,453.0,370.0,1
311.0,1960.0,6536.0,2.0,2406.0,2926.0,1
397.0,700.0,48223.0,2.0,1904.0,1398.0,1
714.0,3265.0,69970.0,1.0,3386.0,2697.0,1
550.0,892.0,8054.0,1.0,6109.0,1453.0,1
418.0,4466.0,21624.0,1.0,250.0,550.0,1
8.0,8.0,4.0,5.0,6.0,9.0,1
176.0,3116.0,39010.0,1.0,1076.0,570.0,1
1.0,1.0,188.0,255.0,35.0,578.0,1
27.0,6963.0,29706.0,1.0,1881.0,1725.0,1
337.0,844.0,93094.0,1.0,3542.0,839.0,1
429.0,1115.0,4900.0,2.0,3748.0,742.0,1
442.0,3265.0,9355.0,0.0,7100.0,3616.0,1
1.0,1.0,1.0,1.0,14446.0,14322.0,1
773.0,3363.0,88609.0,1.0,3704.0,3297.0,1
1.0,1.0,1.0,10000.0,10.0,100.0,1
1.0,1.0,1.0,10000.0,1.0,100.0,1
792.0,363.0,8877.0,2.0,5427.0,1340.0,1
51.0,135.0,34816.0,0.0,4456.0,2739.0,1
41.0,1348.0,7982.0,2.0,2575.0,1180.0,1
523.0,1069.0,32794.0,1.0,1368.0,2783.0,1
660.0,1481.0,8727.0,1.0,3724.0,2901.0,1
296.0,4816.0,57321.0,2.0,5285.0,104.0,1
171.0,4692.0,20021.0,3.0,2013.0,3628.0,1
33.0,1714.0,21580.0,2.0,4016.0,1772.0,1
1.0,1.0,1.0,10000.0,1.0,1000.0,1
59.0,1429.0,24761.0,2.0,9576.0,3878.0,1
6.0,9.0,10.0,6.0,7.0,0.0,1
399.0,4358.0,38732.0,1.0,2021.0,7503.0,1
353.0,818.0,8464.0,1.0,244.0,5372.0,1
515.0,1916.0,21142.0,0.0,1761.0,693.0,1
1.0,2.0,3.0,4.0,5.0,6.0,1
119.0,2.0,41415.0,1.0,3608.0,991.0,1
26.0,1294.0,23565.0,3.0,9560.0,1972.0,1
782.0,861.0,19496.0,2.0,4462.0,643.0,1
108.0,2283.0,4226.0,1.0,3484.0,4397.0,1
1147.0,2269.0,25064.0,2.0,5111.0,1293.0,1
1.0,2.0,3.0,4.0,5.0,7.0,1
247.0,4062.0,36844.0,0.0,1434.0,1896.0,1
287.0,3167.0,17278.0,1.0,3429.0,374.0,1
93.0,4035.0,52946.0,2.0,5687.0,3694.0,1
522.0,3617.0,25699.0,0.0,1659.0,2531.0,1
1.0,2.0,3.0,3.0,2.0,990.0,1
430.0,597.0,41065.0,0.0,8708.0,1191.0,1
109.0,6741.0,31401.0,2.0,8997.0,6192.0,1
152.0,1114.0,45223.0,1.0,7745.0,1534.0,1
98.0,1567.0,13801.0,1.0,978.0,40.0,1
9.0,2286.0,24041.0,0.0,2607.0,959.0,1
425.0,1866.0,18391.0,1.0,395.0,4545.0,1
327.0,951.0,11848.0,1.0,6340.0,1665.0,1
267.0,7901.0,31952.0,2.0,5199.0,489.0,1
418.0,3047.0,29691.0,0.0,3271.0,1174.0,1
18.0,4235.0,13314.0,0.0,6143.0,103.0,1
331.0,966.0,10818.0,0.0,5453.0,2630.0,1
279.0,663.0,33438.0,2.0,2419.0,8135.0,1
550.0,1902.0,2591.0,0.0,6904.0,4920.0,1
461.0,2172.0,50603.0,0.0,4697.0,900.0,1
404.0,964.0,9998.0,1.0,6570.0,939.0,1
292.0,2993.0,16922.0,2.0,10210.0,2178.0,1
58.0,382.0,38754.0,0.0,2993.0,845.0,1
12.0,1632.0,10063.0,2.0,901.0,2216.0,1
1.0,2.0,3.0,3.0,2008.0,99009.0,1
66.0,113.0,32954.0,3.0,2799.0,1040.0,1
1.0,2.0,3.0,3.0,2.0,1.0,1
198.0,2967.0,12768.0,1.0,3857.0,612.0,1
542.0,2554.0,10723.0,2.0,1402.0,3222.0,1
215.0,641.0,40844.0,1.0,10956.0,7690.0,1
26.0,5713.0,28457.0,0.0,2044.0,46.0,1
417.0,1773.0,52874.0,2.0,8347.0,1145.0,1
66.0,2118.0,18637.0,1.0,2119.0,4606.0,1
184.0,3198.0,51099.0,0.0,6924.0,231.0,1
428.0,1757.0,48253.0,0.0,5814.0,3522.0,1
291.0,3399.0,3127.0,1.0,4815.0,2607.0,1
479.0,2965.0,39540.0,1.0,3923.0,1580.0,1
1.0,2.0,3.0,3.0,2.0,99009.0,1
45.0,3826.0,20052.0,1.0,756.0,1644.0,1
368.0,7945.0,398.0,1.0,8579.0,763.0,1
741.0,1425.0,4216.0,1.0,6528.0,1982.0,1
287.0,4023.0,357.0,0.0,1639.0,1452.0,1
680.0,6394.0,35724.0,2.0,5162.0,156.0,1
421.0,226.0,15145.0,1.0,9721.0,4866.0,1
441.0,1605.0,25825.0,1.0,11696.0,3260.0,1
397.0,4643.0,33792.0,2.0,1818.0,5068.0,1
1.0,21.0,321.0,4321.0,54321.0,654321.0,1
30.0,1830.0,7859.0,1.0,2842.0,1651.0,1
226.0,1267.0,26157.0,2.0,8877.0,848.0,1
285.0,172.0,33512.0,2.0,2323.0,2779.0,1
518.0,5325.0,20419.0,2.0,7058.0,1822.0,1
527.0,208.0,12557.0,2.0,9257.0,1756.0,1
936.0,5707.0,25491.0,2.0,2525.0,3964.0,1
1.0,1.0,1.0,6.0,9.0,1.0,1
226.0,2130.0,7878.0,1.0,2047.0,228.0,1
23456.0,45678.0,5678.0,4567.0,4567.0,8765.0,1
102.0,1669.0,6212.0,1.0,6284.0,777.0,1
143.0,1843.0,8132.0,1.0,7520.0,2887.0,1
869.0,968.0,42789.0,1.0,15525.0,742.0,1
9.0,621.0,21886.0,1.0,8364.0,100.0,1
443.0,3521.0,31158.0,1.0,10818.0,4218.0,1
178.0,1721.0,36486.0,3.0,9573.0,2465.0,1
332.0,2700.0,96334.0,0.0,6758.0,6621.0,1
13.0,13.0,13.0,13.0,13.0,13.0,1
